frame.number,_ws.col.Time,frame.len,tcp.seq,ip.dst,tcp.dstport,tcp.time_relative,tcp.len,tcp.ack,tcp.srcport,frame.time_relative
"1","04:54:27.090363","74","0","10.1.1.2","5201","0.000000000","0","0","36492","0.000000000"
"2","04:54:27.091147","74","0","10.1.1.1","36492","0.000784000","0","1","5201","0.000784000"
"3","04:54:27.091242","66","1","10.1.1.2","5201","0.000879000","0","1","36492","0.000879000"
"4","04:54:27.091399","103","1","10.1.1.2","5201","0.001036000","37","1","36492","0.001036000"
"5","04:54:27.091568","66","1","10.1.1.1","36492","0.001205000","0","38","5201","0.001205000"
"6","04:54:27.091636","67","1","10.1.1.1","36492","0.001273000","1","38","5201","0.001273000"
"7","04:54:27.091643","66","38","10.1.1.2","5201","0.001280000","0","2","36492","0.001280000"
"8","04:54:27.091768","70","38","10.1.1.2","5201","0.001405000","4","2","36492","0.001405000"
"9","04:54:27.091931","66","2","10.1.1.1","36492","0.001568000","0","42","5201","0.001568000"
"10","04:54:27.091942","165","42","10.1.1.2","5201","0.001579000","99","2","36492","0.001579000"
"11","04:54:27.092098","66","2","10.1.1.1","36492","0.001735000","0","141","5201","0.001735000"
"12","04:54:27.092237","67","2","10.1.1.1","36492","0.001874000","1","141","5201","0.001874000"
"13","04:54:27.092259","66","141","10.1.1.2","5201","0.001896000","0","3","36492","0.001896000"
"14","04:54:27.092393","74","0","10.1.1.2","5201","0.000000000","0","0","5200","0.002030000"
"15","04:54:27.092623","74","0","10.1.1.1","5200","0.000230000","0","1","5201","0.002260000"
"16","04:54:27.092657","66","1","10.1.1.2","5201","0.000264000","0","1","5200","0.002294000"
"17","04:54:27.092677","103","1","10.1.1.2","5201","0.000284000","37","1","5200","0.002314000"
"18","04:54:27.092850","66","1","10.1.1.1","5200","0.000457000","0","38","5201","0.002487000"
"19","04:54:27.095933","67","3","10.1.1.1","36492","0.005570000","1","141","5201","0.005570000"
"20","04:54:27.095956","66","141","10.1.1.2","5201","0.005593000","0","4","36492","0.005593000"
"21","04:54:27.096168","67","4","10.1.1.1","36492","0.005805000","1","141","5201","0.005805000"
"22","04:54:27.096194","66","141","10.1.1.2","5201","0.005831000","0","5","36492","0.005831000"
"23","04:54:27.096222","7306","38","10.1.1.2","5201","0.003829000","7240","1","5200","0.005859000"
"24","04:54:27.096259","7306","7278","10.1.1.2","5201","0.003866000","7240","1","5200","0.005896000"
"25","04:54:27.096402","66","1","10.1.1.1","5200","0.004009000","0","1486","5201","0.006039000"
"26","04:54:27.096432","66","1","10.1.1.1","5200","0.004039000","0","2934","5201","0.006069000"
"27","04:54:27.096432","66","1","10.1.1.1","5200","0.004039000","0","4382","5201","0.006069000"
"28","04:54:27.096459","5858","14518","10.1.1.2","5201","0.004066000","5792","1","5200","0.006096000"
"29","04:54:27.096650","66","1","10.1.1.1","5200","0.004257000","0","5830","5201","0.006287000"
"30","04:54:27.096678","66","1","10.1.1.1","5200","0.004285000","0","7278","5201","0.006315000"
"31","04:54:27.096698","8754","20310","10.1.1.2","5201","0.004305000","8688","1","5200","0.006335000"
"32","04:54:27.096913","66","1","10.1.1.1","5200","0.004520000","0","8726","5201","0.006550000"
"33","04:54:27.096952","66","1","10.1.1.1","5200","0.004559000","0","10174","5201","0.006589000"
"34","04:54:27.097364","66","1","10.1.1.1","5200","0.004971000","0","13070","5201","0.007001000"
"35","04:54:27.097372","11650","28998","10.1.1.2","5201","0.004979000","11584","1","5200","0.007009000"
"36","04:54:27.097440","66","1","10.1.1.1","5200","0.005047000","0","14518","5201","0.007077000"
"37","04:54:27.097440","66","1","10.1.1.1","5200","0.005047000","0","15966","5201","0.007077000"
"38","04:54:27.097467","5858","40582","10.1.1.2","5201","0.005074000","5792","1","5200","0.007104000"
"39","04:54:27.097660","66","1","10.1.1.1","5200","0.005267000","0","17414","5201","0.007297000"
"40","04:54:27.097674","66","1","10.1.1.1","5200","0.005281000","0","18862","5201","0.007311000"
"41","04:54:27.097923","66","1","10.1.1.1","5200","0.005530000","0","20310","5201","0.007560000"
"42","04:54:27.097923","66","1","10.1.1.1","5200","0.005530000","0","21758","5201","0.007560000"
"43","04:54:27.098122","66","1","10.1.1.1","5200","0.005729000","0","23206","5201","0.007759000"
"44","04:54:27.098131","14546","46374","10.1.1.2","5201","0.005738000","14480","1","5200","0.007768000"
"45","04:54:27.098410","66","1","10.1.1.1","5200","0.006017000","0","26102","5201","0.008047000"
"46","04:54:27.098650","66","1","10.1.1.1","5200","0.006257000","0","28998","5201","0.008287000"
